Eclipse Acceleo	3.7.9
Eclipse Accessibility Tools Framework	1.5.1
Eclipse ATL	4.2.0
Eclipse BPEL Designer	1.1.2
Eclipse BPMN2 Modeler Project	1.5.1
Eclipse Buildship: Eclipse Plug-ins for Gradle	3.1.3
Eclipse Business Intelligence and Reporting Tools (BIRT)	4.7.0
Eclipse Business Process Model and Notation (BPMN2)	1.5.0
Eclipse C/C++ Development Tooling (CDT)	9.11.0
Eclipse CDO Model Repository	4.9.0
Eclipse Collections	10.2.0
Eclipse Communication Framework	3.14.7
Eclipse Corrosion: the Eclipse IDE for Rust	0.4.2
Eclipse Data Tools Platform	1.14.102
Eclipse Dynamic Languages Toolkit	6.1
Eclipse EclEmma	3.1.3
Eclipse Ecore Tools	3.3.2
Eclipse EGit: Git Integration for Eclipse	5.7.0
Eclipse EMF	2.21.0
Eclipse EMF Client Platform	1.24.0
Eclipse EMF Compare	3.3.9
Eclipse EMF Parsley	1.10.0
Eclipse EMF Services	1.12.1
Eclipse EMFStore	1.10.0
Eclipse Extended Editing Framework (EEF)	2.1.3
Eclipse Generation Factories (EGF)	1.6.2
Eclipse GMF Runtime	1.12.2
Eclipse Graphical Editing Framework (GEF)	5.4.0 (2020-03)
Eclipse Graphiti	0.16.1
Eclipse JGit: Java implementation of Git	5.7.0
Eclipse Jubula Functional Testing Tool	8.0.2 (2020-03)
Eclipse Linux Tools	7.6.0
Eclipse LSP4E	0.14.0
Eclipse LSP4J	0.9.0
Eclipse Marketplace Client	1.8.2
Eclipse Maven Integration	1.15
Eclipse Maven Integration for Web Tools Platform	1.4.3
Eclipse MDT UML2	5.5.1
Eclipse MDT XSD (XML Schema Definition)	2.21.0
Eclipse Memory Analyzer	1.10.0
Eclipse Modeling Workflow Engine	2.11.2
Eclipse MoDisco	2020-03 (1.5.1)
Eclipse Mylyn	3.24
Eclipse Mylyn Docs	3.0.36
Eclipse Object Teams	2.8.0 (2020-03)
Eclipse OCL (Object Constraint Language)	2020-03 (6.11.0)
Eclipse Oomph	1.16.0
Eclipse Packaging Project	4.12.0
Eclipse Papyrus	4.6.0
Eclipse Parallel Tools Platform (PTP)	9.4.0
Eclipse Passage	0.8.0
Eclipse PHP Development Tools	7.1
Eclipse Project	4.15.0
Eclipse QVT Operational	2019-12 (3.10.1)
Eclipse QVTd (QVT Declarative)	2020-03 (0.22.0)
Eclipse RCP Testing Tool	2.5.1
Eclipse RedDeer	2.9.0
Eclipse Remote Application Platform	3.12
Eclipse Scout	10.0.0
Eclipse Sirius	6.1.4
Eclipse SWTBot	2.8.0
Eclipse Target Communication Framework	1.6.2
Eclipse Target Management: Terminal and Remote System Explorer (RSE)	4.5
Eclipse TM4E - TextMate support in the Eclipse IDE 	0.3.4
Eclipse Tools for Cloud Foundry	1.2.0 (Photon)
Eclipse Trace Compass	5.3.0
Eclipse User Storage Service SDK	1.2.1
Eclipse VIATRA	2.3.1
Eclipse Web Tools Platform Project	3.17
Eclipse Wild Web Developer	0.8.2
Eclipse WindowBuilder	1.9.3
Eclipse Xpand	2.2.0
Eclipse Xtext	2.21.0
Eclipse XWT	1.4.0
